"Now Shopping by","Comprar por"
"Previous","Anterior"
"Remove","Remover"
"Remove This Item","Remover este Item"
"Shop By","Filtrar por"
"Clear All","Limpar Tudo"
"Shopping Options","Opções de Compra"
"Welcome to %store_name","Bem-vindo a %store_name"
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para efetuar login em nosso site, use suas credenciais durante pagamento ou na página <a href=""%customer_url"">Minha Conta</a>:"
"Email:","E-mail:"
"Password:","Senha:"
"Password you set when creating account","Senha que você definiu ao criar a conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu sua senha? Clique <a href=""%reset_url""> aqui</a> para redefinir."
"When you sign in to your account, you will be able to:","Ao fazer login na sua conta, você poderá:"
"Quick Checkout","Compra Rápida"
"Proceed through checkout faster","Continuar com checkout rápido"
"Order Status","Situação do pedido"
"Check the status of orders","Verificar o status dos seus pedidos"
"Manage Addresses","Gerenciar endereços"
"Store alternative addresses","Endereços alternativos da loja"
"For shipping to multiple family members and friends","Para enviar para vários familiares e amigos"
"Order History","Histórico de pedidos"
"View past orders","Ver os pedidos que você já realizou"
"Footer","Rodapé"
"Credit memo for your %store_name order","Nota de crédito para o seu pedido %store_name"
"Thank you for your order from %store_name.","Obrigado pelo seu pedido na loja %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Você pode verificar o status do seu pedido ao <a href=""%account_url""> logar em sua conta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se você tem perguntas sobre seu pedido, você pode nos enviar em <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","A sua Nota de Crédito #%creditmemo_id para o Pedido #%order_id"
"Billing Info","Informações de cobrança"
"Payment Method","Forma de pagamento"
"Update to your %store_name credit memo","Atualização para sua nota de crédito de %store_name"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Seu pedido #%increment_id foi atualizado com um status de <strong>%order_status</strong>."
"Invoice for your %store_name order","Fatura para o seu pedido de %store_name"
"Your Invoice #%invoice_id for Order #%order_id","A sua Fatura #%invoice_id para o Pedido #%order_id"
"Update to your %store_name invoice","Atualização para a sua fatura de %store_name"
"Your %store_name order confirmation","Confirmação do seu pedido de %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Assim que a sua encomenda for enviada você irá receber um código para que possa acompanhar seu pedido."
"Your Order <span class=""no-link"">#%increment_id</span>","O seu pedido <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Efetuada em <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Atualização do seu pedido de %store_name"
"Your %store_name order has shipped","Seu pedido de %store_name foi enviado"
"Your shipping confirmation is below. Thank you again for your business.","A confirmação de envio encontra-se a seguir. Agradecemos novamente a sua compra."
"Your Shipment #%shipment_id for Order #%order_id","Sua entrega #%shipment_id para o pedido #%order_id"
"Update to your %store_name shipment","Atualização da sua entrega de %store_name"
"My Account","Minha Conta"
"The search failed because of a search engine misconfiguration.","A pesquisa falhou devido a uma configuração incorreta do mecanismo de pesquisa."
"Elasticsearch Server Hostname","Hostname do Servidor Elasticsearch"
"Elasticsearch Server Port","Porto do Servidor Elasticsearch"
"Elasticsearch Index Prefix","Prefixo de Índice Elasticsearch"
"Enable Elasticsearch HTTP Auth","Ativar Autenticação HTTP para Elasticsearch"
"Elasticsearch HTTP Username","Username HTTP Elasticsearch"
"Elasticsearch HTTP Password","Senha HTTP Elasticsearch"
"Elasticsearch Server Timeout","Timeout do Servidor Elasticsearch"
"Test Connection","Testar conexão"
"Are you sure you want to delete this gift registry?","Você tem certeza que deseja excluir esta lista de presente?"
"Delete Registry","Excluir lista"
"Gift Registry Entity","Entidade de lista de presente"
"Product ID","Identificador do Produto"
"Product","Produto"
"SKU","Código de Produto:"
"Price","Preço"
"Quantity","Quantidade"
"Total","Total"
"Add to Gift Registry","Adicionar à lista de presentes"
"Are you sure you want to add these products?","Você tem certeza que deseja adicionar estes produtos?"
"Update Items and Quantities","Atualizar Itens e Quantidades"
"ID","Id."
"Requested","Solicitado"
"Fulfilled","Preenchido"
"Note","Nota"
"Action","Ação"
"Update Quantity","Atualizar quantidade"
"Remove Item","Remover Item"
"Sharing Information","Compartilhar Informação"
"Emails","E-mails"
"Send From","Enviado por"
"Message","Mensagem"
"Share Gift Registry","Compartilhar lista de presente"
"Gift Registry","Lista de presente"
"Event","Evento"
"Registrants","Registantes"
"Event Date","Data do evento"
"Total Items","Total de itens"
"Remaining","Restantes"
"Public","Público"
"No","Não"
"Yes","Sim"
"Website","Site"
"Gift Registry Types","Tipo de lista de presente"
"Add Gift Registry Type","Adicionar tipo de lista de presente"
"Save","Salvar"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","Se você excluir este tipo de lista de presente, você também excluir os registros dos cliente que usam esse tipo. Você quer continuar?"
"Delete","Excluir"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Edit '%1' Gift Registry Type","Editar tipo de lista de presente '%1'"
"New Gift Registry Type","Novo tipo de lista de presente"
"Add Attribute","Adicionar Atributo"
"Delete Attribute","Excluir Atributo"
"Use Default Value","Utilizar Valor Padrão"
"Short","Curto"
"Medium","Média"
"Long","Longo"
"Full","Completo"
"Add New Option","Adicionar Nova Opção"
"Delete Option","Deletar Opção"
"General Information","Informações gerais"
"Code","Código"
"Label","Título"
"Sort Order","Ordenação"
"Is Listed","Está listado"
"Attributes","Atributos"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"None","Nenhum"
"New Address","Novo Endereço"
"Edit Gift Registry","Editar a lista de presentes"
"Create Gift Registry","Criar lista de presentes"
"State/Province","Estado"
"Please select a region, state or province","Por favor, selecione uma região, estado ou província"
"Please Select","Por Favor Selecione"
"View Gift Registry %1","Ver lista de presente %1"
"Share '%1' Gift Registry","Compartilhar a lista de presentes de '%1'"
"-- Please select --","-- Selecione uma opção --"
"From","De"
"To","Até"
"Gift Registry Search","Pesquisa na lista de presente"
"Select Search Type","Selecione o tipo de pesquisa"
"Registrant","Titular do registro"
"Registry owner","Proprietário do registro"
"The gift registry ID is incorrect. Verify the ID and try again.","The gift registry ID is incorrect. Verify the ID and try again."
"The gift registry entity is incorrect. Verify the entity and try again.","The gift registry entity is incorrect. Verify the entity and try again."
"Shopping cart items have been added to gift registry.","Os itens do carrinho de compras foram adicionados à lista de presente."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Produtos virtuais, download e cartões de presente não podem ser adicionados à lista de presente."
"We can't add shopping cart items to the gift registry right now.","Não foi possível adicionar os itens do carrinho de compras na lista de presente."
"You deleted this gift registry entity.","Você excluiu esta entidade de lista de presente."
"We couldn't delete this gift registry entity.","Não foi possível excluir esta entidade de lista de presente."
"Customers","Clientes"
"Edit '%1' Gift Registry","Editar lista de presente '%1'"
"Something went wrong while editing the gift registry.","Ocorreu um erro ao editar à lista de presente."
"At least one email address is needed. Enter an email address and try again.","At least one email address is needed. Enter an email address and try again."
"%1 email(s) were sent.","%1 e-mail(s) foram enviados."
"We couldn't send '%1 of %2 emails.","Não foi possível enviar '%1 de %2 e-mails."
"You updated this gift registry.","Você atualizou esta lista de presente."
"We can't update these gift registry items right now.","Não foi possível atualizar esses itens na lista de presente."
"You deleted the gift registry type.","Você excluiu o tipo de lista de presente."
"We couldn't delete this gift registry type.","Não foi possível excluir este tipo de lista de presente."
"%1","%1"
"Edit Type","Editar tipo"
"New Type","Novo tipo"
"You saved the gift registry type.","Você salvou o tipo de lista de presente."
"We can't save this gift registry type right now.","Não foi possível salvar este tipo de lista de presente."
"Page not found.","Página não encontrada."
"%1 item(s) have been added to the gift registry.","%1 Item(ns) foram adicionados à lista de presente."
"We have nothing to add to this gift registry.","Não ha nada para adicionar à esta lista de presentes."
"You can't add virtual products, digital products or gift cards to gift registries.","Você não pode adicionar produtos virtuais, produtos digitais ou cartões-presente à lista de presentes."
"You deleted this gift registry.","Você excluiu esta lista de presente."
"Something went wrong while deleting the gift registry.","Ocorreu um erro ao excluir à lista de presente."
"The type is incorrect. Verify and try again.","The type is incorrect. Verify and try again."
"The registrant data is incorrect. Verify and try again.","The registrant data is incorrect. Verify and try again."
"The address can't be empty. Enter and try again.","The address can't be empty. Enter and try again."
"An address needs to be selected. Select and try again.","An address needs to be selected. Select and try again."
"The address is incorrect. Verify and try again.","The address is incorrect. Verify and try again."
"You saved this gift registry.","Você salvou esta lista de presente."
"We couldn't save this gift registry.","Não foi possível salvar está lista de presente."
"Gift Registry Items","Itens da lista de presente"
"Something went wrong while sending email(s).","Ocorreu um erro durante o envio do e-mail(s)."
"Something went wrong while sharing the gift registry.","Ocorreu um erro ao compartilhar à lista de presente."
"You updated the gift registry items.","Você atualizou os itens da lista de presente."
"We couldn't update the gift registry.","Não foi possível atualizar a lista de presente."
"The wish list item has been added to this gift registry.","O item de lista de desejos foi adicionado a esta lista de presente."
"We couldn’t add your wish list items to your gift registry.","Não foi possível adicionar seus itens da lista de desejos para sua lista de presente."
"Please enter correct search options.","Por favor, digite as opções corretas de busca."
"Please enter at least 2 letters of the first name.","Por favor, insira pelo menos 2 letras no nome."
"Please enter at least 2 letters of the last name.","Por favor, insira pelo menos 2 letras no sobrenome."
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"Please enter a gift registry ID.","Por favor, informe o ID da lista de presente."
"Please enter the quantity of items to add to cart.","Por favor, informe a quantidade de itens para adicionar no carrinho."
"We can't add this item to your shopping cart right now.","Nós não podemos adicionar este item ao seu carrinho de compras agora."
"Gift Registry Info","Informação da lista de presente"
"Please enter the ""%1"".","Por favor, insira o ""%1""."
"Please enter the correct ""%1"".","Por favor, insira o ""%1"" correto."
"Custom Types","Tipos personalizados"
"Static Types","Tipos estáticos"
"label","rótulo"
"Product has required options.","O produto possui opções obrigatórias."
"You need to enter sender data.","Você precisa informar os dados do remetente."
"Please add invitees.","Por favor, adicione os convidados."
"You cannot send emails to more than %1 recipients at once","Não pode enviar e-mails a mais do que %1 destinatários de uma só vez"
"Please enter a valid invitee email address.","Por favor insira um convite de endereço de e-mail válido."
"Please enter an invitee name.","Por favor insira um nome de convidado."
"You shared the gift registry for %1 emails.","Você compartilhou a lista de presente para %1 e-mail(s)."
"We couldn't share the registry.","Não foi possível compartilhar a lista."
"Private","Privado"
"Inactive","Inativo"
"Active","Ativo"
"Please enter the title.","Por Favor insira um título."
"Please enter the message.","Por favor insira a mensagem."
"Please enter correct the Privacy setting.","Por favor, insira as configurações corretas de privacidade."
"We cannot specify the product.","Não foi possível especificar o produto."
"The gift registry item quantity is incorrect. Verify the item quantity and try again.","The gift registry item quantity is incorrect. Verify the item quantity and try again."
"The gift registry item ID is incorrect. Verify the gift registry item ID and try again.","The gift registry item ID is incorrect. Verify the gift registry item ID and try again."
"The registrant with ID=%1 doesn't belong to the current gift registry.","The registrant with ID=%1 doesn't belong to the current gift registry."
"We can't add product to the gift registry right now.","We can't add product to the gift registry right now."
"The registrant with id=""%1"" was not found.","The registrant with id=""%1"" was not found."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","A quantidade ""%1"" do produto adicionado ao carrinho excede a quantidade pretendida pelo proprietário da lista de presente. A quantidade adicionada foi ajustada para %2 e atender quantidade restante."
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","A quantidade existente do produto ""%1"" no carrinho foi substituída com a quantidade %2 que foi pedida."
"This product(s) is out of stock.","Este produto está em falta."
"Please correct the product for adding the item to the quote.","Por favor, corrija o produto para adicionar o item no orçamento."
"Please correct the item option format.","Por favor corrija o formato da opção do item."
"An item option with code %1 already exists.","Uma opção de item com o código %1 já existe."
"GiftRegistry item filters must implement %1.","GiftRegistry item filters must implement %1."
"New","Novo"
"Please enter the first name.","Por favor, informe o nome."
"Please enter the last name.","Por favor, informe o sobrenome."
